Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
01/01/2026 00:00,0,4496,0,4496
01/01/2026 01:00,0,3877,0,3877
01/01/2026 02:00,0,1485,0,1485
01/01/2026 03:00,0,1102,0,1102
01/01/2026 04:00,0,1598,0,1598
01/01/2026 05:00,0,1200,0,1200
01/01/2026 06:00,0,974,0,974
01/01/2026 07:00,0,2159,0,2159
01/01/2026 08:00,59,1776,0,1717
01/01/2026 09:00,192,2118,0,1926
01/01/2026 10:00,209,1366,0,1157
01/01/2026 11:00,230,1358,0,1128
01/01/2026 12:00,229,1254,0,1025
01/01/2026 13:00,221,1291,0,1070
01/01/2026 14:00,149,1695,0,1546
01/01/2026 15:00,52,1305,0,1253
01/01/2026 16:00,0,1399,0,1399
01/01/2026 17:00,0,1045,0,1045
01/01/2026 18:00,0,2030,0,2030
01/01/2026 19:00,0,1207,0,1207
01/01/2026 20:00,0,1139,0,1139
01/01/2026 21:00,0,1564,0,1564
01/01/2026 22:00,0,1647,0,1647
01/01/2026 23:00,0,1679,0,1679
01/02/2026 00:00,0,2246,0,2246
01/02/2026 01:00,0,1857,0,1857
01/02/2026 02:00,0,2126,0,2126
01/02/2026 03:00,0,1936,0,1936
01/02/2026 04:00,0,2182,0,2182
01/02/2026 05:00,0,2217,0,2217
01/02/2026 06:00,0,2160,0,2160
01/02/2026 07:00,64,2716,0,2652
01/02/2026 08:00,541,3107,0,2566
01/02/2026 09:00,911,2777,0,1866
01/02/2026 10:00,960,2247,0,1287
01/02/2026 11:00,676,2320,0,1644
01/02/2026 12:00,306,2104,0,1798
01/02/2026 13:00,362,2171,0,1809
01/02/2026 14:00,303,2291,0,1988
01/02/2026 15:00,54,2575,0,2521
01/02/2026 16:00,0,5335,0,5335
01/02/2026 17:00,0,5237,0,5237
01/02/2026 18:00,0,5065,0,5065
01/02/2026 19:00,0,2644,0,2644
01/02/2026 20:00,0,2497,0,2497
01/02/2026 21:00,0,2609,0,2609
01/02/2026 22:00,0,2839,0,2839
01/02/2026 23:00,0,2086,0,2086
01/03/2026 00:00,0,1908,0,1908
01/03/2026 01:00,0,573,0,573
01/03/2026 02:00,0,651,0,651
01/03/2026 03:00,0,914,0,914
01/03/2026 04:00,0,1310,0,1310
01/03/2026 05:00,0,1010,0,1010
01/03/2026 06:00,0,1103,0,1103
